time,belpex,solar,wind,load
2021-01-04 16:00:00,67.04,0.0,2166.88,12237.425
2021-01-04 17:00:00,76.05,0.0,2166.88,12265.2725
2021-01-04 18:00:00,45.88,0.0,2166.1975,11802.62
2021-01-04 19:00:00,37.43,0.0,2166.88,11136.635
2021-01-04 20:00:00,39.07,0.0,2166.3875,10520.8025
2021-01-04 21:00:00,47.1,0.0,2156.7375,10544.815
2021-01-04 22:00:00,43.8,0.0,2141.035,10406.885
2021-01-04 23:00:00,67.6,0.0,2107.0925,10319.49
2021-01-05 00:00:00,50.0,0.0,2096.155,9613.165
2021-01-05 01:00:00,44.7,0.0,2094.1825,9212.5625
2021-01-05 02:00:00,37.92,0.0,2097.4025,8975.6
2021-01-05 03:00:00,38.42,0.0,2089.005,9059.3625
2021-01-05 04:00:00,53.65,0.0,2081.455,9393.98
2021-01-05 05:00:00,46.8,0.0,2066.835,10145.4525
2021-01-05 06:00:00,49.08,0.0,2028.2675,10800.3975
2021-01-05 07:00:00,65.98,1.0275,2002.7675,11400.215
2021-01-05 08:00:00,83.57,43.7475,1926.51,11645.1925
2021-01-05 09:00:00,80.0,127.99,1799.19,11815.415
2021-01-05 10:00:00,77.88,194.5625,1703.29,11935.305
2021-01-05 11:00:00,76.55,232.5725,1600.825,11842.4
2021-01-05 12:00:00,79.75,224.705,1506.13,11830.4275
2021-01-05 13:00:00,74.87,171.5425,1422.52,11779.25
2021-01-05 14:00:00,68.63,92.21,1447.34,11809.4875
2021-01-05 15:00:00,67.6,17.4075,1555.76,11778.385
2021-01-05 16:00:00,75.89,0.0,1688.38,12296.715
2021-01-05 17:00:00,80.0,0.0,1657.7025,12339.5225
2021-01-05 18:00:00,49.9,0.0,1563.865,11791.4625
2021-01-05 19:00:00,73.7,0.0,1491.9825,11142.04
2021-01-05 20:00:00,60.58,0.0,1466.5875,10567.6275
2021-01-05 21:00:00,60.03,0.0,1403.7075,10666.8275
2021-01-05 22:00:00,58.14,0.0,1436.655,10635.82
2021-01-05 23:00:00,47.9,0.0,1246.445,10376.5325
2021-01-06 00:00:00,51.4,0.0,1369.63,9812.01
2021-01-06 01:00:00,50.32,0.0,1308.765,9510.78
2021-01-06 02:00:00,48.17,0.0,1335.9075,9349.58
2021-01-06 03:00:00,46.23,0.0,1461.69,9399.105
2021-01-06 04:00:00,48.14,0.0,1519.6225,9649.1475
2021-01-06 05:00:00,46.5,0.0,1490.135,10391.2175
2021-01-06 06:00:00,87.66,0.0,1410.145,11114.655
2021-01-06 07:00:00,90.35,1.13,1219.2625,11819.015
2021-01-06 08:00:00,121.14,52.6625,958.8025,12097.095
2021-01-06 09:00:00,115.5,170.145,785.65,12107.445
2021-01-06 10:00:00,98.34,273.92,704.9275,12093.065
2021-01-06 11:00:00,94.38,310.855,546.8375,11963.6725
2021-01-06 12:00:00,84.45,269.5925,301.5775,11993.905
2021-01-06 13:00:00,86.46,185.775,113.67,11888.9425
2021-01-06 14:00:00,82.28,93.1525,45.1575,11960.3075
2021-01-06 15:00:00,82.14,18.3025,3.1475,12139.4425
2021-01-06 16:00:00,94.18,0.0,24.215,12694.65
2021-01-06 17:00:00,139.48,0.0,76.9125,12609.33
2021-01-06 18:00:00,128.04,0.0,44.07,12056.7725
2021-01-06 19:00:00,83.6,0.0,268.3575,11319.11
2021-01-06 20:00:00,82.09,0.0,364.0075,10836.98
2021-01-06 21:00:00,73.0,0.0,333.0,10980.5725
2021-01-06 22:00:00,73.0,0.0,445.0075,10972.8175
2021-01-06 23:00:00,91.6,0.0,100.1525,10558.7275
2021-01-07 00:00:00,68.2,0.0,471.495,9637.2375
2021-01-07 01:00:00,42.7,0.0,957.4075,9284.4225
2021-01-07 02:00:00,44.07,0.0,1334.3875,9026.2675
2021-01-07 03:00:00,45.5,0.0,1260.3,9184.9475
2021-01-07 04:00:00,47.0,0.0,886.345,9590.445
2021-01-07 05:00:00,69.4,0.0,768.5975,10357.935
2021-01-07 06:00:00,53.51,0.0,1208.7,11096.765
2021-01-07 07:00:00,78.95,0.96,834.13,11788.0325
2021-01-07 08:00:00,76.87,36.46,1269.91,12029.93
2021-01-07 09:00:00,77.28,112.9625,1390.075,12110.795
2021-01-07 10:00:00,80.6,192.285,1575.02,12210.805
2021-01-07 11:00:00,78.76,223.8825,1454.84,12012.6875
2021-01-07 12:00:00,77.35,193.4725,1431.3225,11965.1175
2021-01-07 13:00:00,80.4,138.84,1482.1275,11794.865
