datetime,Euro
2026-05-10 00:00:00,116.125
2026-05-10 01:00:00,112.77250000000001
2026-05-10 02:00:00,107.13
2026-05-10 03:00:00,106.28
2026-05-10 04:00:00,97.1
2026-05-10 05:00:00,96.69500000000001
2026-05-10 06:00:00,100.9225
2026-05-10 07:00:00,89.555
2026-05-10 08:00:00,56.8225
2026-05-10 09:00:00,11.180000000000001
2026-05-10 10:00:00,0.015000000000000001
2026-05-10 11:00:00,0.17500000000000002
2026-05-10 12:00:00,0.4625
2026-05-10 13:00:00,-0.1325
2026-05-10 14:00:00,-0.3075
2026-05-10 15:00:00,-0.2525
2026-05-10 16:00:00,2.1999999999999997
2026-05-10 17:00:00,52.78
2026-05-10 18:00:00,87.8625
2026-05-10 19:00:00,106.00750000000001
2026-05-10 20:00:00,120.295
2026-05-10 21:00:00,119.8
2026-05-10 22:00:00,114.86
2026-05-10 23:00:00,106.36500000000001
2026-05-11 00:00:00,101.78
2026-05-11 01:00:00,93.56
2026-05-11 02:00:00,96.0275
2026-05-11 03:00:00,100.705
2026-05-11 04:00:00,98.2375
2026-05-11 05:00:00,112.35
2026-05-11 06:00:00,134.57
2026-05-11 07:00:00,165.75
2026-05-11 08:00:00,157.60750000000002
2026-05-11 09:00:00,126.46000000000001
2026-05-11 10:00:00,102.9975
2026-05-11 11:00:00,88.855
2026-05-11 12:00:00,81.5325
2026-05-11 13:00:00,75.9725
2026-05-11 14:00:00,73.4725
2026-05-11 15:00:00,72.735
2026-05-11 16:00:00,94.7925
2026-05-11 17:00:00,95.67750000000001
2026-05-11 18:00:00,102.2875
2026-05-11 19:00:00,119.6325
2026-05-11 20:00:00,129.5075
2026-05-11 21:00:00,126.75
2026-05-11 22:00:00,120.86250000000001
2026-05-11 23:00:00,110.0
2026-05-12 00:00:00,99.2875
2026-05-12 01:00:00,93.4075
2026-05-12 02:00:00,87.41499999999999
2026-05-12 03:00:00,85.6025
2026-05-12 04:00:00,89.53
2026-05-12 05:00:00,93.60499999999999
2026-05-12 06:00:00,111.4625
2026-05-12 07:00:00,122.6575
2026-05-12 08:00:00,112.145
2026-05-12 09:00:00,94.075
2026-05-12 10:00:00,75.38000000000001
2026-05-12 11:00:00,58.864999999999995
2026-05-12 12:00:00,42.365
2026-05-12 13:00:00,26.95
2026-05-12 14:00:00,31.925
2026-05-12 15:00:00,45.525
2026-05-12 16:00:00,64.165
2026-05-12 17:00:00,86.075
2026-05-12 18:00:00,109.5075
2026-05-12 19:00:00,131.6125
2026-05-12 20:00:00,137.6125
2026-05-12 21:00:00,139.925
2026-05-12 22:00:00,129.86249999999998
2026-05-12 23:00:00,116.8475
2026-05-13 00:00:00,104.685
2026-05-13 01:00:00,100.96000000000001
2026-05-13 02:00:00,93.8625
2026-05-13 03:00:00,91.575
2026-05-13 04:00:00,96.5975
2026-05-13 05:00:00,104.0025
2026-05-13 06:00:00,116.2075
2026-05-13 07:00:00,126.77000000000001
2026-05-13 08:00:00,117.7925
2026-05-13 09:00:00,84.46000000000001
2026-05-13 10:00:00,67.625
2026-05-13 11:00:00,65.3725
2026-05-13 12:00:00,64.685
2026-05-13 13:00:00,59.305
2026-05-13 14:00:00,54.615
2026-05-13 15:00:00,63.897499999999994
2026-05-13 16:00:00,71.8675
2026-05-13 17:00:00,83.215
2026-05-13 18:00:00,112.32
2026-05-13 19:00:00,135.0125
2026-05-13 20:00:00,156.5775
2026-05-13 21:00:00,143.4575
2026-05-13 22:00:00,127.16
2026-05-13 23:00:00,116.98750000000001
